track,artist,genres,followers,popularity,year
Otherside,Red Hot Chili Peppers,"['funk', 'new jack swing', 'p funk', 'post-disco', 'quiet storm']",187147,78,1999
Oye Mi Amor,Maná,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",12622630,78,1992
It Was A Good Day,Ice Cube,"['britpop', 'permanent wave', 'rock', 'shoegaze']",2421804,78,1992
Song 2 - 2012 Remaster,Blur,"['new wave pop', 'pop rock']",552627,78,1997
オトノケ - Otonoke,Creepy Nuts,['j-pop'],1384894,83,2024
インフェルノ,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,72,2019
アイドル,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,71,2023
ただ君に晴れ,ヨルシカ,['j-pop'],2781861,72,2018
高嶺の花子さん,back number,"['j-pop', 'j-rock']",4952536,71,2014
美しい鰭,SPITZ,"['classic j-pop', 'j-pop', 'j-rock']",2421582,69,2023
ライラック,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,77,2024
夜に駆ける,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,70,2021
だから僕は音楽を辞めた,ヨルシカ,['j-pop'],2781861,67,2019
花束,back number,"['j-pop', 'j-rock']",4952536,71,2011
君はロックを聴かない,Aimyon,"['j-acoustic', 'j-pop']",5455261,65,2017
青と夏,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,72,2019
115万キロのフィルム,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",6752011,65,2018
群青,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,67,2021
水平線,back number,"['j-pop', 'j-rock']",4952536,70,2023
晴る,ヨルシカ,['j-pop'],2781861,70,2024
ケセラセラ,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,73,2023
マリーゴールド,Aimyon,"['j-acoustic', 'j-pop']",5455261,64,2019
白日,King Gnu,['j-pop'],3622920,64,2020
新しい恋人達に,back number,"['j-pop', 'j-rock']",4952536,73,2024
忘れてください,ヨルシカ,['j-pop'],2781861,70,2024
familie,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,76,2024
愛を伝えたいだとか,Aimyon,"['j-acoustic', 'j-pop']",5455261,63,2017
Same Blue,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",6752011,71,2024
HAPPY BIRTHDAY,back number,"['j-pop', 'j-rock']",4952536,69,2019
たぶん,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,64,2021
Magic,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,71,2023
憂、燦々,ヨルシカ,['j-pop'],2781861,70,2024
カタオモイ,Aimer,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",2545085,63,2016
ハッピーエンド,back number,"['j-pop', 'j-rock']",4952536,65,2016
怪物,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,65,2021
僕のこと,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,67,2019
First Love,Hikaru Utada,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']",3645418,67,1999
チェリー,SPITZ,"['classic j-pop', 'j-pop', 'j-rock']",2421582,65,1996
春泥棒,ヨルシカ,['j-pop'],2781861,63,2021
逆夢,King Gnu,['j-pop'],3622920,63,2021
Soranji,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,70,2023
勇者,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,66,2023
丸ノ内サディスティック,Sheena Ringo,"['j-pop', 'j-rock']",1804250,62,1999
言って。,ヨルシカ,['j-pop'],2781861,64,2017
カメレオン,King Gnu,['j-pop'],3622920,63,2022
ロマンチシズム,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,68,2019
RPG,SEKAI NO OWARI,"['anime', 'j-pop']",2726882,62,2015
あの夢をなぞって,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,63,2021
空も飛べるはず,SPITZ,"['classic j-pop', 'j-pop', 'j-rock']",2421582,63,2006
一途,King Gnu,['j-pop'],3622920,65,2021
まちがいさがし,SUDA MASAKI,"['anime rock', 'j-pop', 'japanese punk rock']",2087071,61,2019
アポリア,ヨルシカ,['j-pop'],2781861,68,2024
UNDEAD,YOASOBI,"['j-pop', 'japanese teen pop']",8417188,70,2024
Dear,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",4455163,69,2024
Várias Queixas,Gilsons,['nova mpb'],407239,71,2019
CAJU,Liniker,"['nova mpb', 'pop lgbtq+ brasileira']",365912,73,2024
Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7522756,68,2005
Velha Infância - 2004 Digital Remaster,Tribalistas,"['brazilian rock', 'mpb', 'nova mpb']",1258756,69,2002
Se...,Djavan,"['mpb', 'musica alagoana']",2972986,65,1992
Depois,Marisa Monte,['mpb'],2262539,65,2011
Por Enquanto - Ao Vivo,Cássia Eller,"['brazilian rock', 'mpb']",2262238,65,2001
Amado,Vanessa Da Mata,"['mpb', 'nova mpb']",1256473,63,2007
Lisboa,"ANAVITÓRIA, Lenine","['folk brasileiro', 'musica tocantinense', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional']",6811614,68,2021
Oceano,Djavan,"['bossa nova', 'brazilian rock', 'manguebeat', 'mpb', 'nova mpb', 'nova musica pernambucana']",822650,64,1989
Já Sei Namorar - 2004 Digital Remaster,Tribalistas,"['mpb', 'musica alagoana']",2972986,64,2002
Palavras Ao Vento,Cássia Eller,"['brazilian rock', 'mpb', 'nova mpb']",1258756,64,1999
Ainda Bem,Marisa Monte,"['brazilian rock', 'mpb']",2262238,64,2011
Águas De Março,"Elis Regina, Antônio Carlos Jobim",['mpb'],2262539,64,1974
Eu Te Devoro - Ao Vivo,Djavan,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",1416621,62,2011
Pela Luz dos Olhos Teus - Bonus Track,"Miúcha, Antônio Carlos Jobim","['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",765692,64,1977
Sozinho - Ao Vivo,Caetano Veloso,"['mpb', 'musica alagoana']",2972986,62,1998
Vilarejo,Marisa Monte,"['bossa nova', 'mpb', 'velha guarda']",70538,63,2006
Como Nossos Pais,Elis Regina,"['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",765692,61,1976
Um Amor Puro,Djavan,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",2353132,64,1999
Relicário - Ao Vivo,"Cássia Eller, Nando Reis",['mpb'],2262539,61,2001
Apenas Mais uma de Amor,Lulu Santos,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",1416621,66,2000
"Amor I Love You / Citação: Trecho da Obra Intitulada ""Primo Basilio"" De Eça de Queiroz Declamado por Arnaldo Antunes",Marisa Monte,"['mpb', 'musica alagoana']",2972986,62,2000
Poema,Ney Matogrosso,"['brazilian rock', 'mpb']",2262238,62,1999
Meu Abrigo,Melim,"['brazilian rock', 'mpb', 'pop rock brasileiro']",2983348,65,2018
Se... (Ao Vivo),Djavan,"['brazilian rock', 'mpb', 'pop nacional']",2092017,63,1999
O Segundo Sol - Ao Vivo,Cássia Eller,['mpb'],2262539,61,2001
Chão de Giz,Zé Ramalho,"['bossa nova', 'mpb', 'samba', 'velha guarda']",716832,65,1997
Beija Eu,Marisa Monte,"['mpb', 'nova mpb', 'pop nacional']",5370193,60,1991
"Na Rua, Na Chuva, Na Fazenda (Casinha De Sapê) - Ao Vivo","Kid Abelha, Lenine","['mpb', 'musica alagoana']",2972986,62,2002
Boa Sorte / Good Luck (feat. Ben Harper),"Vanessa Da Mata, Ben Harper","['brazilian rock', 'mpb']",2262238,62,2007
A noite,Tiê,['mpb'],2695794,65,2014
Pra Você Guardei O Amor,"Nando Reis, Ana Cañas",['mpb'],2262539,64,2009
Flor de Lis,Djavan,"['mpb', 'pop rock brasileiro', 'rock nacional brasileiro']",1679047,60,1976
Quem de nós Dois (La Mia Storia Tra Le Dita),Ana Carolina,"['bossa nova', 'brazilian rock', 'manguebeat', 'mpb', 'nova mpb', 'nova musica pernambucana']",822650,59,2001
Devolva-Me (Ao Vivo),Adriana Calcanhotto,"['mpb', 'nova mpb']",1256473,58,2000
Tempo Perdido,Legião Urbana,"['neo mellow', 'pastoral']",1022560,69,1986
O Segundo Sol,Cássia Eller,"['folk brasileiro', 'mpb', 'nova mpb']",712555,60,1999
Telegrama,Zeca Baleiro,"['brazilian rock', 'mpb', 'pop rock brasileiro']",2983348,58,2002
Encostar na Tua,Ana Carolina,"['mpb', 'nova mpb']",245318,59,2003
Eu Te Devoro,Djavan,"['mpb', 'musica alagoana']",2972986,60,1998
Construção,Chico Buarque,"['mpb', 'musica juiz-forana']",1558724,60,1971
Samba De Verão,Caetano Veloso,"['bossa nova', 'mpb']",1065889,60,2000
"Vida Loka, Pt. 1",Racionais MC's,"['boom bap brasileiro', 'brazilian hip hop']",7711116,70,2002
Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7522756,68,2005
Epitáfio,Titãs,"['hard rock brasileiro', 'mpb', 'pop rock brasileiro', 'rock nacional brasileiro', 'rock piauiense']",2291568,66,2001
Apenas Mais uma de Amor,Lulu Santos,"['brazilian rock', 'mpb', 'pop nacional']",2092017,66,2000
Aonde Quer Que Eu Vá,Os Paralamas Do Sucesso,"['brazilian rock', 'latin alternative', 'latin rock', 'mpb', 'rock nacional brasileiro']",2339755,65,2000
Quando o sol se for,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",1049683,65,2003
Um Minuto Para O Fim Do Mundo,CPM 22,"['brazilian emo', 'brazilian punk', 'brazilian rock', 'pop rock brasileiro']",772510,65,2005
Lugar Ao Sol,Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7522756,66,2001
Pra Você Guardei O Amor,"Nando Reis, Ana Cañas","['brazilian rock', 'mpb', 'pop rock brasileiro']",2983348,64,2009
Desabafo / Deixa Eu Dizer,"Marcelo D2, Claudia","['mpb', 'nova mpb']",245318,64,2008
Contra o tempo - Ao vivo,Vander Lee,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']",1254790,43,2003
Olhos certos,Detonautas Roque Clube,['mpb'],10207,63,2003
Só Hoje,Jota Quest,"['mpb', 'musica popular mineira']",309436,63,2002
Segredos,Frejat,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",1049683,63,2001
Um Anjo do Céu,Maskavo,"['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro']",2318696,61,2000
Girassol (Acústico),Cidade Negra,"['mpb', 'rock nacional brasileiro']",1276053,61,2002
Xote Dos Milagres,Falamansa,"['brazilian reggae', 'rock gaucho']",465087,61,2000
Admirável Chip Novo,Pitty,"['axe', 'brazilian reggae', 'brazilian rock', 'mpb', 'pagode']",1421335,59,2003
Encostar na Tua,Ana Carolina,['brazilian reggae'],446516,59,2003
Mar de gente,O Rappa,"['brazilian rock', 'hard rock brasileiro', 'pop rock brasileiro', 'rock baiano']",2290856,59,2003
Monalisa - Ao Vivo No Rio De Janeiro / 2006,Jorge Vercillo,"['mpb', 'musica juiz-forana']",1558724,59,2006
Cabide,Mart'nália,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro']",3562601,58,2006
Meu Lugar,Arlindo Cruz,"['mpb', 'pagode']",947279,58,2007
Fico Assim Sem Você,Adriana Partimpim,"['bossa nova', 'mpb', 'pagode', 'samba']",371288,58,2004
Devolva-Me (Ao Vivo),Adriana Calcanhotto,"['mpb', 'pagode', 'pagode novo', 'samba']",859803,58,2000
Telegrama,Zeca Baleiro,"['musica infantil', 'musica para criancas']",52653,58,2002
Natiruts Reggae Power - Ao Vivo,Natiruts,"['bossa nova', 'mpb']",1065889,58,2006
